시도,시군구,연도,월,사고건수
서울,양천구,2019년,06월,114.0
서울,양천구,2019년,07월,120.0
서울,양천구,2019년,08월,157.0
서울,양천구,2019년,09월,110.0
서울,양천구,2019년,10월,160.0
서울,양천구,2019년,11월,128.0
서울,양천구,2019년,12월,129.0
서울,양천구,2020년,01월,109.0
서울,양천구,2020년,02월,114.0
서울,양천구,2020년,03월,114.0
서울,양천구,2020년,04월,80.0
서울,양천구,2020년,05월,112.0
서울,양천구,2020년,06월,113.0
서울,양천구,2020년,07월,110.0
서울,양천구,2020년,08월,115.0
서울,양천구,2020년,09월,136.0
서울,양천구,2020년,10월,142.0
서울,양천구,2020년,11월,104.0
서울,양천구,2020년,12월,95.0
서울,중랑구,2018년,01월,125.0
서울,중랑구,2018년,02월,125.0
서울,중랑구,2018년,03월,116.0
서울,중랑구,2018년,04월,121.0
서울,중랑구,2018년,05월,151.0
서울,중랑구,2018년,06월,130.0
서울,중랑구,2018년,07월,144.0
서울,중랑구,2018년,08월,112.0
서울,중랑구,2018년,09월,124.0
서울,중랑구,2018년,10월,154.0
서울,중랑구,2018년,11월,139.0
서울,중랑구,2018년,12월,124.0
서울,중랑구,2019년,01월,122.0
서울,중랑구,2019년,02월,117.0
서울,중랑구,2019년,03월,118.0
서울,중랑구,2019년,04월,134.0
서울,중랑구,2019년,05월,134.0
서울,중랑구,2019년,06월,131.0
서울,중랑구,2019년,07월,125.0
서울,중랑구,2019년,08월,138.0
서울,중랑구,2019년,09월,147.0
서울,중랑구,2019년,10월,171.0
서울,중랑구,2019년,11월,156.0
서울,중랑구,2019년,12월,127.0
서울,중랑구,2020년,01월,112.0
서울,중랑구,2020년,02월,159.0
서울,중랑구,2020년,03월,91.0
서울,중랑구,2020년,04월,116.0
서울,중랑구,2020년,05월,124.0
서울,중랑구,2020년,06월,129.0
서울,중랑구,2020년,07월,101.0
서울,중랑구,2020년,08월,108.0
서울,중랑구,2020년,09월,136.0
서울,중랑구,2020년,10월,143.0
서울,중랑구,2020년,11월,137.0
서울,중랑구,2020년,12월,91.0
서울,노원구,2018년,01월,132.0
서울,노원구,2018년,02월,125.0
서울,노원구,2018년,03월,125.0
서울,노원구,2018년,04월,141.0
서울,노원구,2018년,05월,142.0
서울,노원구,2018년,06월,126.0
서울,노원구,2018년,07월,115.0
서울,노원구,2018년,08월,111.0
